Date,Open,High,Low,Close,Adj Close,Volume
2021-03-24,565.400024,574.599976,561.000000,569.000000,566.130127,2644870
2021-03-25,565.200012,569.000000,558.000000,568.200012,565.334167,2670500
2021-03-26,573.799988,576.400024,561.599976,566.599976,563.742249,2565545
2021-03-29,564.000000,576.400024,555.400024,556.799988,553.991638,2119199
2021-03-30,559.000000,570.599976,558.000000,568.599976,565.732117,2008869
2021-03-31,566.799988,572.400024,559.799988,559.799988,556.976563,3318259
2021-04-01,563.200012,578.200012,560.599976,572.000000,569.114990,2042106
2021-04-06,576.200012,580.695007,563.599976,570.599976,567.722046,1915323
2021-04-07,576.400024,587.200012,575.400024,586.599976,583.641357,3396434
2021-04-08,590.000000,602.000000,584.799988,590.000000,587.024231,2484832
2021-04-09,592.000000,592.000000,581.599976,584.200012,581.253479,2022702
2021-04-12,584.000000,585.200012,570.200012,576.000000,573.094849,1626905
2021-04-13,575.799988,579.000000,571.400024,578.000000,575.084778,1582701
2021-04-14,579.599976,588.200012,567.799988,586.599976,583.641357,2170520
2021-04-15,589.599976,592.400024,583.400024,588.400024,585.432312,2585227
2021-04-16,589.400024,601.200012,584.799988,596.000000,592.993958,9304766
2021-04-19,593.599976,603.400024,590.200012,591.200012,588.218201,2595320
2021-04-20,592.200012,593.640015,567.599976,568.000000,565.135193,3313672
2021-04-21,570.000000,575.400024,563.200012,564.200012,561.354370,3298570
2021-04-22,570.000000,570.000000,546.367981,552.599976,549.812805,3576737
2021-04-23,550.000000,551.400024,537.200012,550.000000,547.225952,3900291
2021-04-26,547.000000,571.799988,546.400024,570.599976,567.722046,3310511
2021-04-27,582.000000,582.000000,553.599976,558.599976,555.782593,4039377
2021-04-28,560.000000,566.200012,558.799988,562.000000,559.165466,2905813
2021-04-29,563.599976,580.000000,560.599976,561.599976,558.767456,5352892
2021-04-30,560.000000,567.599976,555.200012,562.200012,559.364441,3062764
2021-05-04,566.000000,573.000000,550.200012,551.400024,548.618958,2513707
2021-05-05,553.599976,573.599976,553.599976,570.599976,567.722046,1932504
2021-05-06,571.400024,575.000000,559.400024,562.000000,559.165466,1948168
2021-05-07,565.599976,575.200012,564.400024,575.200012,572.298889,3089657
2021-05-10,576.799988,578.400024,565.400024,568.400024,565.533203,4337730
2021-05-11,560.200012,563.200012,547.200012,551.000000,548.220947,3178099
2021-05-12,545.400024,551.599976,542.400024,546.400024,543.644165,2741165
2021-05-13,540.000000,551.000000,532.799988,548.000000,545.236084,1837593
2021-05-14,552.799988,561.599976,546.599976,561.000000,558.170471,2629410
2021-05-17,561.400024,564.400024,548.599976,548.599976,545.833008,2907464
2021-05-18,554.400024,556.434021,539.200012,543.599976,540.858215,3787626
